ticker,history_dev
VPS,  1976: Tiền thân là Công ty Thuốc sát trùng miền Nam được thành lập; 1990: Đổi tên thành Công ty Thuốc sát trùng Việt Nam; 2006: Cổ phần hóa và chuyển sang hoạt động theo mô hình công ty cổ phần với số vốn điều lệ ban đầu là 156 tỷ đồng; 2008: Tăng vốn điều lệ lên 174.719.940.000 đồng; Ngày 19/08/2015: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 31/10/2016: Tăng vốn điều lệ lên 244.607.920.000 đồng;   
VPI,"  Ngày 22/01/2003: Chủ tịch UBND Thành phố Hà Nội ban hành Quyết định số 620/QĐ-UB chính thức cho phép Công ty Đầu tư Xây dựng và Kinh doanh Quảng Ninh đặt chi nhánh tại Hà Nội – là tiền thân của Công ty CPĐT Văn Phú - Invest; Năm 2006: Triển khai Dự án Khu đô thị mới Văn Phú ở quận Hà Đông, Hà Nội với diện tích 94,8 ha; Năm 2008: Chi nhánh chính thức cổ phần hóa và đổi tên thành Công ty Cổ phần Đầu tư Văn Phú – Invest; Năm 2011: Khởi công Dự án tổ hợp chung cư cao tầng và dịch vụ thương mại The Van Phu - Victoria tại Khu đô thị mới Văn Phú, Hà Đông, Hà Nội; Năm 2014: Hoàn thành và bàn giao Dự án tổ hợp chung cư cao tầng và dịch vụ thương mại The Van Phu - Victoria tại Khu đô thị mới Văn Phú, Hà Đông, Hà Nội; Năm 2015: Nhận giải thưởng BCI Asia Awards 2015 - Giải thưởng dành cho 10 nhà phát triển Bất động sản hàng đầu tại Việt Nam; Năm 2016:  Khánh thành, bàn giao, đưa vào sử dụng 03 dự án: Tổ hợp chung cư cao tầng Home City, Trường Đại học Y tế Công cộng, Tuyến cao tốc Hà Nội – Bắc Giang; Ngày 14/04/2017: Tăng vốn điều lệ lên 1.600 tỷ đồng; Ngày 17/10/2017: Trở thành công ty đại chúng theo Công văn số 6961/UBCK-GSĐC của Ủy ban Chứng khoán Nhà nước; Ngày 20/11/2017: Niêm yết trên Sở Giao dịch Chứng khoán Hà Nội (HNX); Ngày 28/11/2017: Giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX); Ngày 31/05/2018: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 20/06/2018: Hủy niêm yết trên Sở Giao dịch Chứng khoán Hà Nội (HNX); Ngày 29/06/2018: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 24/11/2020: Tăng vốn điều lệ lên 1.999 tỷ đồng. Ngày 26/11/2021: Tăng vốn điều lệ lên 2.199 tỷ đồng; Ngày 10/10/2022: Tăng vốn điều lệ lên 2.419,9 tỷ đồng; Ngày 16/08/2024: Tăng vốn điều lệ lên 2.903,9 tỷ đồng; Ngày 05/12/2024: Tăng vốn điều lệ lên 3.200,4 tỷ đồng;   "
VPH,"  Ngày 09/09/1999: Tiền thân là Công ty TNHH Vạn Phát Hưng chính thức được thành lập; Ngày 04/10/2006: Chuyển đổi thành Công ty Cổ Phần Vạn Phát Hưng với vốn điều lệ 135 tỷ đồng; Ngày 26/02/2007: Tăng vốn điều lệ lên 165 tỷ đồng; Ngày 23/04/2007: Tăng vốn điều lệ lên 173 tỷ đồng; Ngày 13/06/2007: Tăng vốn điều lệ lên 200,83 tỷ đồng; Ngày 09/09/2009: Cổ phiếu của công ty chính thức được niêm yết trên sàn HOSE; Ngày 31/03/2010: Tăng vốn điều lệ lên 241 tỷ đồng; Ngày 31/07/2010: Tăng vốn điều lệ lên 277 tỷ đồng; Ngày 03/10/2013: Tăng vốn điều lệ lên 302 tỷ đồng; Ngày 17/07/2017: Tăng vốn điều lệ lên 529.830.840.000 đồng; Ngày 24/01/2018: Tăng vốn điều lệ lên 635.797.000.000 đồng; Ngày 04/05/2018: Tăng vốn điều lệ lên 756.587.220.000 đồng; Ngày 23/05/2019: Tăng vốn điều lệ lên 866.895.010.000 đồng; Ngày 24/07/2019: Tăng vốn điều lệ lên 953.578.000.000 đồng;   "
VPG,"  Ngày 23/07/2008: Được thành lập với số vốn điều lệ 25 tỷ đồng, hoạt động chính trên lĩnh vực vận tải nội địa. Năm 2010: Mở rộng phạm vi kinh doanh sang các lĩnh vực thương mại, đầu tư, sản xuất,.. Ngày 21/05/2014: Tăng vốn điều lệ lên thành 100 tỷ đồng. Ngày 01/10/2016: Tăng vốn điều lệ lên thành 200 tỷ đồng.  Ngày 27/12/2017: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 18/01/2018: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 07/08/2018: Tăng vốn điều lệ lên 229.999.930.000 đồng. Ngày 27/06/2019: Tăng vốn điều lệ lên 264.498.750.000 đồng. Ngày 22/06/2020: Tăng vốn điều lệ lên 350 tỷ đồng. Ngày 03/09/2020: Tăng vốn điều lệ lên 391.998.140.000 đồng. Ngày 20/07/2021: Tăng vốn điều lệ lên 431.196.880.000 đồng; Ngày 27/01/2022: Tăng vốn điều lệ lên 729.079.280.000 đồng; Ngày 31/07/2023: Tăng vốn điều lệ lên 842.070.710.000 đồng;   "
VPD,"  2002: Công ty Cổ phần Phát triển Điện lực Việt Nam được thành lập với vốn điều lệ là 13,7 tỷ đồng; 2003: Công ty nhận chuyển nhượng Nhà máy thủy điện Nậm Má; 2004: Công ty xây dựng Nhà máy thủy điện Bắc Bình; 2007: Công ty khởi công dự án Nhà máy thủy điện Khe Bố tại tỉnh Nghệ An; 2009: Thành lập trung tâm tư vấn thiết kế; Ngày 12/07/2017: Tăng vốn điều lệ lên 1.024.930.980.000 đồng;  Ngày 25/12/2017: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 22/01/2018: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 05/12/2018: Tăng vốn điều lệ lên 1.065.896.290.000 đồng;     "
VPB,"  Ngày 12/08/1993: Ngân hàng được thành lập dưới tên gọi Ngân hàng Thương mại Cổ phần Doanh nghiệp tư nhân Việt Nam với vốn điều lệ 20 tỷ đồng; Năm 2006: Trở thành cổ đông chiến lược của OCBC Singapore và thành lập hai công ty con, là Công ty trách nhiệm hữu hạn Quản lý tài sản Ngân hàng Việt Nam Thịnh Vượng (VPB AMC) và Công ty Trách nhiệm hữu hạn Chứng khoán VPBank (VPBS); Năm 2007: Trở thành ngân hàng đầu tiên tại Việt Nam giới thiệu thẻ chip; Năm 2009: Ra mắt dịch vụ E-Banking; Năm 2010: Đổi tên thành Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng và thí điểm mô hình hiện đại của các chi nhánh ngân hàng bán lẻ theo tư vấn của McKinsey & Company và thành lập Phòng Tài chính tiêu dùng mang thương hiệu FE Credit; Năm 2014: Trở thành một trong 10 ngân hàng hàng đầu của Việt Nam được lựa chọn để áp dụng phương pháp tiêu chuẩn của Basel II; Năm 2015: Nâng mức đánh giá từ ""ổn định"" lên ""tích cực"" theo Moody’s; Ngày 19/07/2017: Trở thành công ty đại chúng theo Công văn số 5043/UBCK-GSĐC của Ủy ban Chứng khoán Nhà nước; Ngày 08/08/2017: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 17/08/2017: Giao dịch trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 12/09/2018: Tăng vốn điều lệ lên 24.962.728.720.000 đồng; Ngày 10/12/2021: Tăng vốn điều lệ lên 45.056.929.870.000 đồng; Ngày 28/11/2022: Tăng vốn điều lệ lên 67.434.236.010.000 đồng; Ngày 28/11/2023: Tăng vốn điều lệ lên 79.33.9236.010.000 đồng;   "
VOS,"  Ngày 01/07/1970: Công ty Vận tải biển Việt Nam, tiền thân của Công ty Cổ phần Vận tải biển Việt Nam được thành lập; Tháng 03/1975: Bộ Giao thông Vận tải quyết định tách một bộ phận phương tiện và lao động của Công ty để thành lập Công ty Vận tải Ven biển; Ngày 26/10/1993: Công ty Vận tải biển Việt Nam được thành lập lại; Ngày 29/04/1994: Trở thành doanh nghiệp thành viên hạch toán độc lập trực thuộc Tổng Công ty Hàng hải Việt Nam; Ngày 11/07/2007: Chức chuyển đổi sang mô hình công ty cổ phần; Ngày 01/01/2008: Công ty Cổ phần Vận tải biển Việt Nam chính thức đi vào hoạt động vói vốn điều lệ 1.400 tỷ đồng, trong đó 60% vốn do Nhà nước sở hữu; Ngày 08/09/2010: Cổ phiếu của Công ty được niêm yết và giao dịch trên sàn HOSE.   "
VNS,"  Tiền thân của Công ty là Công ty TNHH Thương Mại Dịch vụ Lữ hành Tư Vấn Đầu Tư Ánh Dương Việt Nam, được thành lập vào ngày 15/6/1995, với vốn điều lệ là 300 triệu đồng. Ngày 17/7/2003: Công ty chuyển đổi thành Công ty Cổ Phần Ánh Dương Việt Nam với vốn điều lệ là 8 tỷ đồng. Ngày 25/5/2006, Công ty tăng vốn điều lệ lên 16 tỷ đồng để đầu tư thêm xe mới cho hoạt động dịch vụ Taxi. Tháng 2/2007, Tăng vốn điều lệ lên 100 tỷ đồng. Tháng 10/2007, Tăng vốn điều lệ của Công ty lên 170 tỷ đồng. Ngày 29/07/2008: Niêm yết 17 triệu cổ phiếu trên sàn HOSE. THáng 09/2009: Tăng vốn điều lệ lên 200 tỷ đồng. Tháng 06/2010: Tăng vốn điều lệ lên 299.9 tỷ đồng. Tháng 12/2013: Tăng vốn điều lệ lên 434,998 tỷ đồng. Tháng 06, 2014: Tăng vốn điều lệ lên 565.49 tỷ đồng. Tháng 07, 2015: Tăng vốn điều lệ lên 678.59 tỷ đồng.   "
VNM,"  Năm 1976: Tiền thân của công ty là Công ty Sữa – Cà Phê Miền Nam, trực thuộc Tổng Cục thực phẩm được thành lập; Năm 1978: Đổi tên thành Xí nghiệp liên hợp Sữa Cafe và Bánh kẹo I; Năm 1989: Nhà máy sữa bột Dielac đi vào hoạt động; Năm 1991: Cuộc “cách mạng trắng” khởi đầu chương trình xây dựng vùng nguyên liệu sữa tươi. Lần đầu tiên giới thiệu sản phẩm sữa UHT và sữa chua; Tháng 3/1992: Xí Nghiệp liên hiệp Sữa Cafe và Bánh kẹo I chính thức đổi tên thành Công ty Sữa Việt Nam; Năm 1994: Xây dựng thêm một nhà máy sữa Hà Nội; Năm 2003: Xây thêm nhà máy sữa Cần Thơ; Tháng 11/2003: Công ty chuyển sang hình thức cổ phần, chính thức đổi tên là Công ty Cổ phần Sữa Việt Nam (Vinamilk); Tháng 04/2004: Mua nhà máy sữa Sài Gòn (Saigon milk), tăng vốn điều lệ lên 1.590 tỷ đồng; Ngày 19/01/2006: Cổ phiếu của Vinamilk chính thức giao dịch trên HOSE; Tháng 09/2010: Là doanh nghiệp đầu tiên của Việt Nam lọt vào danh sách 200 công ty vừa và nhỏ tốt nhất Châu Á của Forbes; Tháng 06/2012: Nhà máy sữa Đà Nẵng đi vào hoạt động; Ngày 21/10/2013: Sở Kế hoạch và Đầu tư tỉnh Thanh Hóa cấp giấy chứng nhận đăng kí kinh doanh cho công ty TNHH Bò sữa Thống Nhất, Thanh Hóa. Vinamilk nắm giữ 96,33% vốn điều lệ; Năm 2014: Góp 51% vốn thành lập Công ty AngkorMilk tại thị trường Campuchia và góp 100% vốn thành lập công ty con Vinamilk Europe Spostkaz Ograniczona Odpowiedzialnoscia tại Ba Lan; Năm 2016: Tham gia góp 18% vào CTCP APIS nhằm mở rộng và phát triển chuỗi giá trị các sản phẩm của Vinamilk và thành lập Văn phòng đại diện Thái Lan; Năm 2017: Thành lập Trung tâm Sữa tươi nguyên liệu Củ Chi, đầu tư vào ngành đường với việc nắm 	65% cổ phần của Công ty Cổ phần Đường Việt Nam (tiền thân là Công ty Cổ phần Đường Khánh Hoà) và 25% góp vốn vào Công ty Cổ phần Chế Biến Dừa Á Châu; Ngày 12/10/2018: Tăng vốn điều lệ lên 17.416.877.930.000 đồng; Năm 2019: Đầu tư nắm giữ 75% cổ phần của Công ty Cổ phần GTNFoods, qua đó tham gia điều hành Công ty Cổ phần Sữa Mộc Châu; Ngày 26/10/2020: Tăng vốn điều lệ lên 20.899.554.450.000 đồng;   "
VNL,"  Năm 1998: Công ty Vinatrans thành lập Xí nghiệp Đại lý Vận tải và Gom hàng (Vinaconsol); Ngày 24/06/1999: Bộ trưởng Bộ Thương mại ban hành Quyết định số 0776/1999/QĐ-BTM phê duyệt phương án cổ phần hóa và chuyển Xí nghiệp Đại lý Vận tải và Gom hàng  Vinalink International Freight Forwarders Joint Stock Company (Vinalink) thành Công ty cổ phần Giao nhận Vận tải và Thương mại (Vinalink) với vốn điều lệ 8 tỷ đồng; Ngày 01/09/1999: Công ty Cổ phần Giao nhận Vận tải và Thương mại (Vinalink) chính thức hoạt động theo tư cách pháp nhân đăng ký với Sở Kế hoạch và Đầu tư thành phố Hồ Chí Minh; Ngày 07/03/2000: Gia nhập Hiệp hội Giao nhận Kho vận Việt Nam VIFFAS; Năm 2002: Tăng vốn điều lệ lên 24 tỷ đồng và gia nhập Hiệp hội Giao nhận Quốc tế FIATA; Tháng 07/2005: Tăng vốn điều lệ lên 36 tỷ đồng; Tháng 12/2007: Tăng vốn điều lệ lên 90 tỷ đồng; Ngày 17/08/2009: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Ngày 04/01/2013: Công ty TNHH MTV Logistics Vinalink (Cambodia) được thành lập theo Giấy phép số Co.3199E/2012 cấp bởi Bộ Thương Mại Vương Quốc Campuchia; Ngày 24/05/2014: Đổi tên thành Công ty Cổ phần Logistics Vinalink theo Giấy chứng nhận đăng ký kinh doanh số 0301776205 cấp đổi lần thứ 10 bởi Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh; Ngày 27/05/2022: Tăng vốn điều lệ lên 94 tỷ đồng; Ngày 17/08/2023: Tăng vốn điều lệ lên 141,4 tỷ đồng;   "
VNG,  Ngày 11/07/2006: Tiền thân là Công ty Cổ phần Du lịch Golf Việt Nam (VINAGOLF) được thành lập với vốn điều lệ ban đầu là 130 tỷ đồng trên cơ sở cổ phần hóa Chi nhánh Đà Lạt và Cần Thơ của Công ty Xây dựng và Phát triển Đô thị tỉnh Bà Rịa - Vũng Tàu; Ngày 17/12/2009: Niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE); Tháng 12/2010: Tăng vốn điều lệ lên 200 tỷ đồng; Ngày 27/12/2014: Đổi tên thành Công ty Cổ phần Du lịch Thành Thành Công; Ngày 26/09/2018: Tăng vốn điều lệ lên 752.050.000.000 đồng; Ngày 26/08/2019: Tăng vốn điều lệ lên 926.666.080.000 đồng; Ngày 05/02/2020: Tăng vốn điều lệ lên 972.766.080.000 đồng;   
VNE,"  Ngày 22/02/1988: Công ty Xây lắp Điện 3 được thành lập trên cơ sở hợp nhất hai Công ty là Công ty Xây lắp đường dây và Trạm 3 với Công ty Xây lắp đường dây và Trạm 5; Năm 1994 đến 1997: Là Công ty hạch toán độc lập trực thuộc Tổng Công ty Điện lực Việt Nam (nay là Tập đoàn Điện lực Việt Nam); Năm 1998, Tổng công ty xây dựng Công nghiệp Việt Nam được thành lập, Công ty xây lắp điện 3 là một Công ty thành viên thuộc Tổng Công ty xây dựng Công nghiệp Việt Nam; Ngày 30/9/2002, Công ty xây lắp điện 3 được tổ chức lại thành Công ty mẹ Nhà nước trực thuộc Bộ Công nghiệp thí điểm hoạt động theo mô hình Công ty mẹ-Công ty con; Từ tháng 12/2005 đến nay: Công ty Xây lắp điện 3 chuyển thành Tổng Công ty cổ phần Xây dựng điện Việt Nam; Ngày 01/08/2007: Niêm yết tại HOSE với số vốn điều lệ 320 tỷ đồng; Tháng 10/2010: Tăng vốn điều lệ lên 637,2 tỷ đồng; Ngày 12/04/2017: Tăng vốn điều lệ lên 904,32 đồng;   "
